,tweets,cleaned_tweets
0,"@magninano China with the aid of RNA vaccine producers, Harvard, Fauci, Collins, NIH, and quite a few others.",china aid rna vaccin produc fauci collin nih
1,"@Truth_Abides There's a lot of dots to connect, but the story is there and it predates the release of covid-19. Its is something I have tried to convey since March, but has fallen on deaf ears. Another string of articles. https://t.co/tVpqQjLSlD",lot dot connect stori predat releas convey march fallen deaf ear string articl
2,"@mattdeter @cletusyeetus1 @CowgirlWarrior @IvyShoots @murmalerm @bobx_akins Harvard didn’t write that nonsense, rape apologist",write nonsens rape apologist
3,@mattdeter @CowgirlWarrior @cletusyeetus1 @IvyShoots @murmalerm @bobx_akins Reardon didn’t graduate from Harvard lmfaoooo,reardon graduat lmfaoooo
4,"Yes! @NicoleFleetwoo2 Nicole Fleetwood’s Marking Time: Art in the Age of Mass Incarceration (Harvard University Press, 2020) https://t.co/Reae0aQ8AL",nicol fleetwood mark time art age mass incarcer press
5,Woke up at 3 a.m. this morning to join Harvard Graduate School of Education webinar. https://t.co/8QJ9oiXhYP,woke morn join hgsas educ webinar
6,"“If the identity and collective strength and resilience of students of color and their historical traumas are never acknowledged, then this lack of inclusion poses a threat to their mental health.” Harvard School of Public Health: https://t.co/T1RUSF0dsg https://t.co/XkHvlnP7zD",ident collect strength resili student color histor trauma acknowledg lack inclus pose threat mental health school public health
7,"@michellebhasin @tressiemcphd It's been taken for granted to the point of being lost completely.

All they have now is the connections and name.

Imagine leavimg Harvard a total idiot like so many of theae dudes do.",grant point lost complet connect imagin leavimg total idiot theae dude
8,"Positive news for the travel industry! ✈ 
https://t.co/JRjcHXR5zf",posit news travel industri
9,"@patrickjwiggin @bfugs22 @lakeshow73 Just turned on KFAN this morning to hear Birk on w PA. Talking about praying for Trump and all this bronze age myth nonsense. Just unreal people still talk like this in 2020, and they can go to Harvard, make $100M and still just be so ignorant of reality.",turn kfan morn hear birk talk pray trump bronz age myth nonsens unreal peopl talk realiti
10,"Missed the #Harvard Chapter's talk with Dr. Shiv Pillai?
Watch the recording on our #SvP YouTube Channel here and learn about the ""Pathogenesis of #COVID19"" https://t.co/gCpl3bHcoa",chapter talk shiv pillai watch record svp youtub channel learn pathogenesi
